,date,couverture facebook,visites facebook,interactions faceBook,couverture instagram,interactions instagram,visites instagram,sessions,totalUsers,screenPageViews,averageSessionDuration,bounceRate,engagedSessions,newUsers,eventCount
count,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2024-08-19 20:09:36,41.08,5.56,5.04,80.68,8.84,6.84,4.56,4.24,13.12,226.1484236264762,0.38542857142857145,2.36,3.52,32.6
min,2024-08-07 00:00:00,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
25%,2024-08-13 00:00:00,11.0,2.0,1.0,39.0,0.0,3.0,2.0,2.0,6.0,41.790813,0.0,1.0,2.0,14.0
50%,2024-08-20 00:00:00,29.0,4.0,3.0,51.0,4.0,5.0,4.0,3.0,9.0,116.12803,0.3333333333333333,2.0,2.0,24.0
75%,2024-08-26 00:00:00,55.0,6.0,8.0,84.0,14.0,8.0,5.0,5.0,15.0,334.294283,0.6666666666666666,3.0,4.0,34.0
max,2024-09-02 00:00:00,157.0,35.0,20.0,689.0,48.0,21.0,28.0,26.0,69.0,1131.681901,1.0,7.0,24.0,201.0
std,,42.91068243067997,7.006425622241344,5.660388679233963,131.31695752389837,12.759571570654975,5.374941860150675,5.2128047472865635,4.8500859098920435,14.23411395205195,295.18142809716323,0.3426892225474693,1.6802777548171415,4.5563142999578075,38.452351466891244
